Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.306397559,-4.010127194,0.587668929,1.090408604,0.562970838,-3.835505467,4.317931617,2.646315324,2.833700129,2.977479093
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.07426729,1.570578631,-0.076334649,-1.364175224,0.475051849,-15.20242331,-0.413697039,17.76149167,4.08718373,3.75186089
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.680970268,-3.698643046,0.109331525,-1.098959078,2.726164868,0.065735388,-2.531238302,-2.416609684,0.339025329,3.350954174
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.583706035,7.424640568,1.211372391,2.762961028,5.054791532,-10.82261124,3.689353192,4.476615996,4.152909811,
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.199954095,5.693194554,2.645912606,2.720714349,1.576390917,-10.03323829,10.25964719,3.823630843,1.52893818,-4.563454906
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.198780788,2.875987689,2.786113103,1.978031976,1.722901598,-0.744488615,-0.705468756,0.730965732,-0.362884525,-1.856057153
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.112369165,-0.098296362,1.809464472,1.280926597,0.429657601,-6.062406423,5.365287813,2.326415945,-1.377920786,-1.435279636
Central Europe and the Baltics,CEB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.312163771,3.132787483,5.425846882,5.335142934,4.241094706,-2.695889029,7.620015786,4.175828642,0.658680359,2.091504041
Switzerland,CHE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.494129646,0.960131696,0.42132626,2.10552472,0.423089634,-2.854158236,4.754645193,2.192409289,-0.57412411,-0.334913231
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.072685538,0.9480766,1.536350496,0.736021076,1.150233294,-9.223410358,9.603182035,5.043351293,3.420605233,
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.113704459,0.529833517,-0.235110167,2.149881955,-0.962096016,-6.98113062,10.82455052,1.648778132,-0.019613226,2.094154515
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.358550264,6.165427182,6.246266187,6.258612325,5.692900601,2.096866673,8.473227172,3.147699821,5.524314947,5.106624828
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.142329475,4.108583592,4.421612285,2.053348748,3.962447375,-1.816210617,4.447091986,3.756020846,3.81819303,3.40005196
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.401233687,1.457117227,0.647004976,1.115149469,0.636415291,-2.434760311,0.631351992,1.045029975,0.555787082,0.997232288
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.443193633,-1.163125357,0.002329541,2.337633681,1.127913721,-1.48924363,2.816564591,5.469359924,5.125907589,3.272361748
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.982145875,-10.87005086,-7.86139426,-4.658139749,-1.279884403,-8.48578579,-1.374653895,-0.927744025,-0.528875413,0.148774114
