Country Name,Country Code,Region,Year,GDP_Per_Capita,GDP_Per_Capita_Growth_Annual_Pct,Female_PostSecondary_Education_Pct,Male_PostSecondary_Education_Pct,Labour_Force_Participation_Female_Pct,Labour_Force_Participation_Male_Pct,Maternal_Mortality_Ratio_Per_100k,Women_in_Parliament_Pct,Adult_Literacy_Rate_Female_Pct,Adult_Literacy_Rate_Male_Pct,Adult_Literacy_Rate_Combined_Pct,Gender_Discrimination_Law,Gender_Discrimination_Law_Binary,Maternity_Leave_Days,Paternity_Leave_Days,Shared_Parental_Leave_Days,Youth_Not_In_Edu_Employment_Training_Female_Pct,Youth_Not_In_Edu_Employment_Training_Male_Pct,Youth_Not_In_Edu_Employment_Training_Total_Pct,Unemployment_Female_Pct,Unemployment_Male_Pct,Unemployment_Total_Pct,wei_edu_score,wei_econ_score,wei_safety_score,wei_score,Financial_Inclusion_Female,Financial_Inclusion_Male
Albania,ALB,Europe & Central Asia,2019,5460.430509,2.498299447,15.783772526666668,16.58623537,52.93,68.004,7,29.50819672,98.135002135,98.36000061,98.25,Yes,1,365,3,0,25.445,26.187,25.824,11.318,11.587,11.466,0.5695938733083333,0.5681845238095238,0.8620537553181232,0.653425911768506,0,0
Albania,ALB,Europe & Central Asia,2020,5370.7775,-2.756980235,15.783772526666668,15.6068123875,50.616,65.26,7,29.50819672,98.135002135,98.36000061,98.25,Yes,1,365,3,0,26.898,25.606,26.236,11.648,11.724,11.69,0.5695938733083333,0.5516238095238095,0.8620537553181232,0.647014807787985,0,0
Albania,ALB,Europe & Central Asia,2021,6413.282808,9.98433058,15.783772526666668,15.6068123875,51.887,66.164,14,35.71428571,98.135002135,98.36000061,98.25,Yes,1,365,3,0,26.033,22.252,24.085,11.678,11.307,11.474,0.5695938733083333,0.5610386904761905,0.9018710886337112,0.6605426465018687,0,0
Albania,ALB,Europe & Central Asia,2022,6846.426694,6.108947895,15.783772526666668,15.6068123875,53.183,67.987,8,35.71428571,98.135002135,98.36000061,98.25,Yes,1,365,3,0,25.755,21.811,23.714,10.405,9.917,10.137,0.5695938733083333,0.5677625,0.9032053114489216,0.6634978178821419,0,0
Albania,ALB,Europe & Central Asia,2023,8575.171346,5.137123553,15.783772526666668,15.6068123875,53.207,67.984,7,35.71428571,97.22000122,98.15000153,97.6800003051758,Yes,1,365,3,0,25.602,21.715,23.586,10.376,9.888,10.108,0.5650188687333333,0.5685910714285715,0.9034276819181232,0.6620926908600416,0,0
Albania,ALB,Europe & Central Asia,2024,10011.62799,5.162521915,15.783772526666668,15.6068123875,53.512,68.162,8.333333333333334,35.71428571,98.135002135,98.36000061,98.25,Yes,1,365,3,0,25.624,21.758,23.614,10.527,10.023,10.25,0.5695938733083333,0.5697571428571429,0.9031311879591876,0.6642557298144565,0,0
Algeria,DZA,Middle East & North Africa,2015,4685.059027,1.099620619,0,0,15.262,68.373,79,31.6017316,74.20999908,0,0,No,0,98,3,0,32.258,10.853,21.2,16.741,10.028,11.206,0.3710499954,0.32879166666666665,0.5266666474022682,0.40052504958080287,0,0
Algeria,DZA,Middle East & North Africa,2016,4424.98529,1.785940647,0,0,15.015,68.385,79,31.6017316,74.20999908,0,0,No,0,98,3,0,31.624,9.878,20.409,18.763,8.408,10.202,0.3710499954,0.33078154761904766,0.5266666474022682,0.4013314312461336,0,0
Algeria,DZA,Middle East & North Africa,2017,4554.66754,-0.541667024,0,0,14.887,68.502,77,25.75757576,74.20999908,0,0,No,0,98,3,0,31.603,10.91,20.95,21.252,10.08,12,0.3710499954,0.3303482142857143,0.4881503494073382,0.3911283833033537,0,0
Algeria,DZA,Middle East & North Africa,2018,4577.210292,-0.54601958,0,0,14.755,68.563,75,25.75757576,74.20999908,0,0,No,0,98,3,0,30.584,10.736,20.385,21.477,10.215,12.137,0.3710499954,0.33465059523809526,0.4885950903457416,0.3929383136674506,0,0
